pts_per_g,per,ws,ws_per_48,bpm,Decision
25.jun,19.sep,10.avg,0.155,3.maj,0.084
17.mar,22.jul,9.jan,0.205,3.avg,0.069
23.apr,19.jan,9.feb,0.132,2.jun,0.067
21.0,21.maj,12.jul,0.192,6.maj,0.033
9.avg,17.0,12.jun,0.183,4.sep,0.027000000000000003
21.maj,23.0,11.jul,0.213,5.0,0.025
23.jan,24.maj,12.mar,0.205,7.apr,0.019
15.avg,22.avg,13.apr,0.215,5.jan,0.019
20.feb,21.0,5.maj,0.159,5.maj,0.003
19.jul,19.sep,10.0,0.165,2.feb,0.002
19.mar,19.jul,9.avg,0.162,5.maj,0.001
17.mar,19.maj,9.avg,0.18100000000000002,3.jul,0.001
25.jun,25.sep,14.apr,0.242,8.mar,0.852
26.jan,27.mar,15.avg,0.23399999999999999,8.apr,0.66
32.6,29.jul,17.feb,0.27,9.maj,0.5770000000000001
24.feb,20.avg,10.jun,0.17,2.feb,0.366
29.sep,24.mar,10.maj,0.191,3.jun,0.055
23.apr,24.feb,13.feb,0.19699999999999998,6.jul,0.034
23.apr,22.sep,10.apr,0.163,3.jul,0.031
27.0,26.feb,15.apr,0.23800000000000002,7.jun,0.01
18.feb,22.jan,9.avg,0.19699999999999998,3.feb,0.01
20.feb,22.0,12.jul,0.226,5.feb,0.001
19.sep,20.jul,6.0,0.171,6.jan,0.001
23.maj,17.jun,9.jan,0.141,1.apr,0.001
17.avg,20.apr,9.jan,0.16899999999999998,3.feb,0.001
15.jan,21.mar,10.jun,0.177,3.mar,0.001
27.mar,25.mar,14.mar,0.21,7.0,0.88
29.avg,30.jul,20.0,0.29600000000000004,10.sep,0.723
22.0,23.feb,11.feb,0.19399999999999998,8.mar,0.386
29.mar,28.maj,16.sep,0.252,6.jun,0.28600000000000003
24.maj,22.sep,13.jan,0.21100000000000002,4.maj,0.252
16.maj,17.avg,9.mar,0.155,2.avg,0.02
18.jan,22.sep,11.jul,0.21600000000000003,6.maj,0.017
25.feb,22.sep,13.apr,0.193,6.mar,0.017
17.mar,22.jul,10.0,0.201,4.jun,0.006999999999999999
21.jun,22.avg,8.avg,0.185,5.jul,0.005
13.avg,19.jun,10.feb,0.168,5.mar,0.001
20.0,20.jun,8.jul,0.17,0.9,0.001
4.jul,13.apr,8.jul,0.14,3.maj,0.001
21.0,15.sep,8.0,0.10800000000000001,2.0,0.001
15.jan,22.maj,13.feb,0.214,4.apr,0.001
26.0,21.apr,8.apr,0.153,0.9,0.001
19.jan,19.apr,10.feb,0.17,1.jan,0.001
27.jun,29.jan,17.maj,0.273,8.apr,0.858
29.mar,28.jun,14.0,0.23,5.apr,0.5760000000000001
26.jul,25.jan,13.avg,0.212,5.avg,0.507
23.sep,21.sep,9.jun,0.157,2.feb,0.21899999999999997
27.avg,26.0,10.jul,0.18100000000000002,5.mar,0.14
23.0,25.feb,10.jun,0.214,6.apr,0.091
21.apr,22.jun,11.avg,0.188,7.avg,0.079
14.jul,23.mar,13.sep,0.233,5.maj,0.045
20.jun,21.mar,11.jul,0.187,4.maj,0.032
20.sep,20.avg,10.jul,0.177,4.feb,0.022000000000000002
26.sep,22.jan,2.mar,0.16699999999999998,2.jul,0.011000000000000001
7.jan,16.jun,5.avg,0.17800000000000002,3.avg,0.009000000000000001
11.jul,15.jan,3.jul,0.066,1.jul,0.006999999999999999
21.avg,22.apr,11.jul,0.20600000000000002,6.maj,0.003
21.jul,19.sep,5.feb,0.12300000000000001,0.0,0.001
30.apr,29.apr,20.apr,0.317,8.jun,0.986
25.0,29.apr,18.mar,0.29,9.feb,0.508
21.jul,24.jun,14.apr,0.22899999999999998,6.apr,0.319
26.sep,25.maj,9.jul,0.166,4.jun,0.21100000000000002
19.apr,21.0,12.mar,0.209,6.avg,0.2
19.mar,19.jun,11.maj,0.174,4.jul,0.087
25.jul,26.0,15.jan,0.233,7.mar,0.075
19.jun,22.jun,11.feb,0.205,3.avg,0.065
20.feb,20.sep,11.jul,0.172,5.jan,0.055999999999999994
26.jun,26.apr,6.sep,0.171,3.maj,0.055999999999999994
14.jul,21.sep,13.0,0.214,3.jul,0.011000000000000001
